품목코드,식품유형,성상,포장방법,기존유통기한,보존유통온도,보관방법,기준온도,품질안전한계기간_일,안전계수,소비기한참고값_일,단위,온도별_상세_json,source_pdf,source_page,추출일시
11-1-1-1,일반환자용 균형영양조제식품,액상,밀봉포장,7개월,실온(35℃),실온,35℃,424,11.0,424,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,9,2026-07-03 21:54:05
11-1-1-2,일반환자용 균형영양조제식품,액상,밀봉포장,12개월,실온(35℃),실온,35℃,730,11.0,730,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 1.0, ""소비기한참고값"": 730, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 1.0, ""소비기한참고값"": 730, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,26,2026-07-03 21:54:05
11-1-2-1,당뇨환자용 영양조제식품,액상,밀봉포장,7개월,실온(35℃),실온,35℃,424,11.0,424,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,44,2026-07-03 21:54:05
11-1-2-2,당뇨환자용 영양조제식품,액상,밀봉포장,365일,실온(35℃),실온,35℃,547,11.0,547,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,61,2026-07-03 21:54:05
11-1-2-3,당뇨환자용 영양조제식품,액상,밀봉포장,12개월,실온(35℃),실온,35℃,547,11.0,547,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,78,2026-07-03 21:54:05
11-1-5-1,암환자용 영양조제식품,액상,밀봉포장,12개월,실온(35℃),실온,35℃,455,11.0,455,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 455, ""안전계수"": 1.0, ""소비기한참고값"": 455, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 455, ""안전계수"": 1.0, ""소비기한참고값"": 455, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,96,2026-07-03 21:54:05
11-2-1-1,선천성대사질환자용조제식품,고상,밀봉포장,5개월,실온(35℃),실온,35℃,300,0.83,249,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 300, ""안전계수"": 0.83, ""소비기한참고값"": 249, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 300, ""안전계수"": 0.83, ""소비기한참고값"": 249, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,126,2026-07-03 21:54:05
11-2-3-1,기타환자용 영양조제식품,액상,밀봉포장,5개월,실온(35℃),실온,35℃,302,11.0,302,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 302, ""안전계수"": 1.0, ""소비기한참고값"": 302, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 302, ""안전계수"": 1.0, ""소비기한참고값"": 302, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,145,2026-07-03 21:54:05
11-3-1-1,당뇨환자용 식단형 식품,고상,진공포장,12개월,냉동(-18℃ 이하),냉동,-18℃,730,11.0,708,일,"[{""온도"": ""-18℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}, {""온도"": ""-10℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,154,2026-07-03 21:54:05
11-3-2-1,신장질환자용 식단형 식품,고상,진공포장,12개월,냉동(-18℃ 이하),냉동,-18℃,730,11.0,708,일,"[{""온도"": ""-18℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}, {""온도"": ""-10℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,163,2026-07-03 21:54:05
