food_type,storage_type,package_type,sample_count,median_days,conservative_days,min_days,max_days,source_level
가공두유,실온,밀봉포장,5,426.0,366.0,364.0,554.0,fine
가공버터,냉장,밀봉포장,5,309.0,278.0,244.0,464.0,fine
가공유,냉장,밀봉포장,12,26.0,23.0,21.0,360.0,fine
가공유,실온,,1,180.0,180.0,180.0,180.0,low_confidence
가공유크림,냉장,,2,44.0,28.5,13.0,75.0,low_confidence
가공유크림,실온,,2,664.0,664.0,664.0,664.0,low_confidence
가공치즈,냉장,,7,278.0,277.5,128.0,294.0,coarse
간편조리세트,냉동,,1,589.0,589.0,589.0,589.0,low_confidence
간편조리세트,냉장,밀봉포장,19,8.0,7.0,7.0,14.0,fine
간편조리세트,냉장,밀봉포장/ 진공포장,30,7.0,7.0,6.0,12.0,fine
간편조리세트,냉장,,51,7.0,7.0,6.0,14.0,coarse
갈비가공품,냉동,,4,708.0,618.75,351.0,708.0,low_confidence
갈비가공품,냉장,,1,61.0,61.0,61.0,61.0,low_confidence
강화우유,냉장,,1,23.0,23.0,23.0,23.0,low_confidence
건어포,냉동,,1,349.0,349.0,349.0,349.0,low_confidence
건어포,상온,,1,591.0,591.0,591.0,591.0,low_confidence
건어포,실온,,2,664.0,664.0,664.0,664.0,low_confidence
고추씨기름,실온,,2,621.5,600.25,579.0,664.0,low_confidence
고춧가루,실온,,3,497.0,497.0,497.0,580.0,low_confidence
고형차,상온,,1,620.0,620.0,620.0,620.0,low_confidence
고형차,실온,,2,664.0,664.0,664.0,664.0,low_confidence
곡류가공품,냉장,,1,45.0,45.0,45.0,45.0,low_confidence
곡류가공품,상온,밀봉포장,8,591.0,535.5,369.0,591.0,fine
곡류가공품,상온,,9,591.0,369.0,369.0,591.0,coarse
곡류가공품,실온,밀봉포장,9,664.0,497.0,333.0,693.0,fine
과.채가공품,냉장,일반포장,7,10.0,9.0,8.0,13.0,fine
과.채가공품,냉장,진공포장,6,7.0,7.0,7.0,9.0,fine
과·채가공품,냉장,진공포장,13,9.0,7.0,7.0,23.0,fine
과·채음료,실온,,2,419.0,419.0,419.0,419.0,low_confidence
과･채가공품,냉장,밀봉포장,9,7.0,7.0,6.0,30.0,fine
과･채가공품,냉장,일반포장,5,10.0,7.0,7.0,15.0,fine
과･채가공품,냉장,,16,7.0,7.0,5.0,30.0,coarse
과･채가공품,실온,,3,664.0,440.0,216.0,693.0,low_confidence
과･채음료,냉장,밀봉포장,10,5.0,4.25,3.0,160.0,fine
과･채음료,실온,,1,366.0,366.0,366.0,366.0,low_confidence
과･채주스,냉장,밀봉포장,8,49.0,48.25,32.0,130.0,fine
과･채주스,냉장,,9,49.0,46.0,32.0,130.0,coarse
과･채주스,실온,,1,519.0,519.0,519.0,519.0,low_confidence
기타 건포류,상온,,1,591.0,591.0,591.0,591.0,low_confidence
기타 건포류,실온,,2,664.0,664.0,664.0,664.0,low_confidence
기타 농산가공품,냉장,,3,281.0,281.0,281.0,281.0,low_confidence
기타 농산가공품,상온,,2,457.0,375.5,294.0,620.0,low_confidence
기타 농산가공품,실온,밀봉포장,8,468.5,245.5,142.0,722.0,fine
기타 식용유지가공품,실온,,3,664.0,664.0,664.0,664.0,low_confidence
기타 어육가공품,냉장,,1,92.0,92.0,92.0,92.0,low_confidence
기타 어육가공품,실온,,1,664.0,664.0,664.0,664.0,low_confidence
기타 코코아가공품,실온,,1,664.0,664.0,664.0,664.0,low_confidence
기타발효음료,냉장,,3,145.0,77.5,10.0,649.0,low_confidence
기타발효음료,상온,,1,649.0,649.0,649.0,649.0,low_confidence
기타식물성유지,냉장,,2,463.0,384.5,306.0,620.0,low_confidence
기타식물성유지,상온,,1,591.0,591.0,591.0,591.0,low_confidence
기타식물성유지,실온,,2,622.0,601.0,580.0,664.0,low_confidence
기타엿,실온,,2,158.0,133.5,109.0,207.0,low_confidence
기타환자용 영양조제식품,실온,,1,302.0,302.0,302.0,302.0,low_confidence
김치,냉장,밀봉포장,12,35.0,34.0,31.0,40.0,fine
김치,냉장,,16,35.0,35.0,31.0,41.0,coarse
김치,실온,,1,347.0,347.0,347.0,347.0,low_confidence
김칫속,냉장,일반포장,5,17.0,17.0,9.0,62.0,fine
난백액,냉장,,1,4.12,4.12,4.12,4.12,low_confidence
난황액,냉장,,1,4.12,4.12,4.12,4.12,low_confidence
농후발효유,냉장,밀봉포장,25,22.0,19.0,10.0,52.0,fine
농후발효유,냉장,,26,22.0,19.0,10.0,52.0,coarse
당뇨환자용 식단형 식품,냉동,,1,708.0,708.0,708.0,708.0,low_confidence
당뇨환자용 영양조제식품,실온,,3,547.0,485.5,424.0,547.0,low_confidence
당절임,냉장,,2,92.0,61.5,31.0,153.0,low_confidence
당절임,상온,,1,620.0,620.0,620.0,620.0,low_confidence
두류가공품,냉동,,2,261.5,217.75,174.0,349.0,low_confidence
두류가공품,냉장,밀봉포장,8,21.0,19.5,7.0,620.0,fine
두류가공품,냉장,,9,21.0,18.0,7.0,620.0,coarse
두류가공품,실온,밀봉포장,6,664.0,664.0,580.0,664.0,fine
들기름,냉장,,1,620.0,620.0,620.0,620.0,low_confidence
들기름,상온,,1,591.0,591.0,591.0,591.0,low_confidence
들기름,실온,밀봉포장,9,664.0,664.0,496.0,664.0,fine
땅콩 또는 견과류가공품,냉장,,1,154.0,154.0,154.0,154.0,low_confidence
땅콩 또는 견과류가공품,실온,밀봉포장,17,664.0,664.0,218.0,693.0,fine
마가린,상온,,2,479.5,461.25,443.0,516.0,low_confidence
마요네즈,냉장,,1,217.0,217.0,217.0,217.0,low_confidence
마요네즈,실온,,4,344.0,315.75,231.0,399.0,low_confidence
만두,냉동,밀봉포장,5,527.0,525.0,523.0,533.0,fine
만두,냉장,,2,10.0,9.5,9.0,11.0,low_confidence
만두피,냉동,,1,529.0,529.0,529.0,529.0,low_confidence
만두피,냉장,,4,41.0,34.75,16.0,97.0,low_confidence
맥주,냉장,,4,404.5,160.0,160.0,649.0,low_confidence
물엿,냉장,,1,320.0,320.0,320.0,320.0,low_confidence
물엿,실온,,3,329.0,328.0,327.0,693.0,low_confidence
밀가루,상온,,1,591.0,591.0,591.0,591.0,low_confidence
밀가루,실온,,1,664.0,664.0,664.0,664.0,low_confidence
밀크초콜릿,상온,,1,591.0,591.0,591.0,591.0,low_confidence
발효소시지,냉동,,1,355.0,355.0,355.0,355.0,low_confidence
